Day,Scenario,Susceptible,Exposed,Infectious,Recovered,Quarantined,Active_Infections,Reff
186.3,Worst-Case,598.772404344287,0.08450095692649184,0.021231304679259808,287.96700045372216,113.15486294038482,0.021231304679259808,0.07787714706809132
186.4,Worst-Case,598.772365825548,0.08413790321050815,0.02113826810662392,287.9673038948434,113.15505410829118,0.02113826810662392,0.07787714205829215
186.5,Worst-Case,598.7723274732451,0.08377640825866786,0.021045643463427355,287.96760602484215,113.15524445019041,0.021045643463427355,0.07787713707013987
186.60000000000002,Worst-Case,598.7722892868901,0.08341646532082486,0.020953431721331846,287.967906847563,113.15543396850452,0.020953431721331846,0.07787713210357099
186.70000000000002,Worst-Case,598.7722512659909,0.08305806767494935,0.020861633774919616,287.9682063668829,113.15562266567609,0.020861633774919616,0.07787712715852152
186.8,Worst-Case,598.7722134100511,0.08270120862712713,0.020770250441693245,287.9685045867116,113.15581054416818,0.020770250441693245,0.0778771222349269
186.9,Worst-Case,598.7721757185705,0.0823458815115601,0.020679282462075774,287.96880151099134,113.1559976064644,0.020679282462075774,0.07787711733272205
187.0,Worst-Case,598.7721381910441,0.08199207969056613,0.02058873049941066,287.96909714369684,113.15618385506887,0.02058873049941066,0.07787711245184131
187.10000000000002,Worst-Case,598.7721008269634,0.08163979655457895,0.020498595139961776,287.9693914888355,113.15636929250626,0.020498595139961776,0.07787710759221858
187.20000000000002,Worst-Case,598.7720636258156,0.08128902552214858,0.020408876892913486,287.96968455044737,113.1565539213217,0.020408876892913486,0.07787710275378708
187.3,Worst-Case,598.7720265870837,0.08093976003994063,0.02031957619037051,287.96997633260486,113.15673774408093,0.02031957619037051,0.07787709793647961
187.4,Worst-Case,598.7719897102464,0.08059199358273687,0.020230693387358032,287.97026683941317,113.15692076337015,0.020230693387358032,0.07787709314022839
187.5,Worst-Case,598.7719529947785,0.08024571965343497,0.020142228761821653,287.9705560750099,113.15710298179609,0.020142228761821653,0.07787708836496506
187.60000000000002,Worst-Case,598.7719164401508,0.07990093178304851,0.020054182514627376,287.9708440435653,113.15728440198602,0.020054182514627376,0.07787708361062085
